Days_Since_Last_Purchase,Lifetime_Value,Average_Order_Value,Total_Purchases,Discount_Usage_Rate,Cart_Abandonment_Rate,Membership_Years,Returns_Rate,Login_Frequency,Age,Gender,Country,Signup_Quarter,Churn
103,171.39786191244534,127.67525628601317,76,14.745391742613489,2.345902172115444,4.1829688956547555,1.6107680225186438,4,75,Male,Canada,Q1,1
349,2818.2557884539688,96.33659935119104,5,61.16556756460141,32.94166573744429,1.2437163314559112,23.126747164785304,5,43,Male,UK,Q2,1
271,1460.3138044469606,158.23596101176904,67,56.57473065511459,53.68682179706021,2.161135377455211,15.673764496705079,2,59,Female,Canada,Q4,1
107,286.61938512893215,199.54833622776323,11,71.47023163822577,91.07949305099488,3.339668677278712,33.2538719999214,6,29,Female,Other,Q4,1
72,292.46332544310815,46.3150968052904,94,93.77046153793677,84.65543224654029,2.1470939342612665,41.981469378449596,4,30,Male,Canada,Q4,0
189,12381.24064672756,97.33365573531876,68,91.22545611011557,12.749972667198573,2.206439013999717,18.01890607782848,6,64,Male,Other,Q4,0
21,21110.020790201303,91.88694136495619,69,94.60756180688314,9.303037474089571,0.3281399766787019,21.34510436614186,3,68,Male,Other,Q2,0
103,796.5556499333478,67.85358122230065,1,24.471559702370094,58.926733875666706,2.007217746300019,49.09588922507071,6,66,Female,USA,Q2,1
122,1213.944627716737,47.63814817685502,91,13.156530663935461,53.211797245878266,3.8242394660999173,39.19582548396014,8,30,Female,Canada,Q2,0
215,1998.5390387224506,22.481502133035253,92,30.22767004964485,26.637764143002386,4.5758816859329885,44.86020654658957,3,19,Male,Other,Q3,1
331,1369.290001272814,178.5526702725027,63,89.50851727663147,89.94530845538353,2.067485685316859,21.938111032581485,7,49,Female,Canada,Q4,1
88,88.99261770811921,89.77125256040034,29,97.20534746234883,92.73664094615535,2.1179291343953945,11.70381019920576,15,67,Male,Canada,Q3,1
100,2083.5032605197694,104.41014851500928,82,85.9324951070476,40.261143834016266,3.5131355316182606,20.593173269322584,7,48,Other,UK,Q3,0
360,47.85456176750958,184.218989158174,12,11.00177211275436,89.03025571135203,4.713860005526383,35.80459589157567,6,78,Female,UK,Q3,1
152,365.39308274007055,157.49519072803008,77,94.74279980597932,38.39488942629726,1.3353047011968011,5.471520241798967,3,28,Male,USA,Q1,1
131,2340.5488214600014,34.795240182265005,41,42.3358027350786,73.68168318297002,2.2007210326896844,13.523455280825441,2,54,Other,Canada,Q3,1
150,2697.2588940773367,117.42979384547105,2,0.9310290762353679,47.59422175477241,3.9798662177615056,2.3317950230795192,5,21,Male,UK,Q4,1
309,325.3463716339938,94.02793253871623,37,44.23937407481936,12.258315650718298,3.0484678468701927,21.61738691690658,6,51,Other,Other,Q3,1
258,551.3360915528915,161.47010378996492,45,4.606916967546759,92.79342012370215,0.5529317198197736,41.37228679898066,6,76,Female,Other,Q4,1
344,449.998944183318,147.60418404627035,80,54.387792116111754,45.40965933775366,3.1386636778113286,1.23318441490054,4,33,Female,USA,Q1,1
294,939.8626572644373,141.17708716310366,48,33.855402743705135,73.44870403224036,0.9337314229866345,33.7661763403583,1,48,Male,Other,Q2,1
192,1053.4317847147845,74.7035187411804,24,47.343493359404874,36.71738144312921,2.5510796703920207,46.62479372568698,6,42,Female,Canada,Q4,0
277,2989.0240077734893,162.94310877585835,99,61.3170360743117,1.888087857623466,2.6455163383021922,11.846393075559114,8,56,Female,Other,Q3,1
161,505.04862191746594,19.95434616302363,22,86.88010958178202,10.05303586918359,4.381016811124924,34.68174203638241,2,25,Other,USA,Q4,0
314,1920.0265400525607,40.328731272111774,11,66.19015764719286,49.62194794899244,2.3124713700621906,48.75509505501002,2,25,Female,USA,Q3,0
22,2346.132828455915,73.76842186580322,58,43.40488684781807,68.99643571263624,1.397212111179471,48.11390300762316,2,51,Other,Other,Q2,0
253,1476.5064447502618,24.593413803163443,46,81.9427853670365,33.473532657927905,1.1548317410801578,11.746459651457164,5,32,Other,Canada,Q4,1
236,742.9221537331402,54.6489127315914,29,90.55821375731323,69.54884591776504,4.37125938342168,5.016552660603435,7,22,Other,UK,Q3,1
345,1437.9419895641904,167.72868676960445,35,11.975996643219721,69.8635589431956,0.8550542720911419,7.414126894795797,7,36,Female,Canada,Q4,0
49,3386.697071029869,190.16779218011507,15,53.19329775527915,70.39359073278308,2.1293428044157188,35.10178342410711,9,27,Male,Canada,Q2,0
59,3861.3699220227713,67.8744475970962,60,28.451195974244413,49.25218540205084,0.935865574634735,36.28794377266378,4,26,Male,Canada,Q2,0
170,16698.247073558025,60.25800275787926,95,4.706119787694741,91.4886150121504,3.866520200571877,33.71182808140995,7,74,Female,Other,Q2,1
188,248.38020218654907,63.17960392682111,42,66.85466951139854,48.91965179806156,2.371863199873095,16.803919387111904,5,71,Other,UK,Q4,1
271,566.7900276330307,62.76662659666033,43,86.27707774592255,45.026519349663815,1.7557184527840604,8.488846987906108,7,46,Female,Canada,Q4,0
190,97.49460172982373,16.826734615334868,80,16.290265447739404,19.9380819010627,1.8054982031323341,29.038054597612657,7,69,Male,UK,Q3,1
175,4431.592133231258,186.11410580291053,74,81.24136576239005,30.765508735633652,4.261071033614897,24.184022287893324,3,57,Other,USA,Q2,1
51,663.9711770419204,50.602646898362394,49,85.33957335369416,4.233449251830335,2.7688697714721906,36.441707356115174,5,54,Female,UK,Q3,0
364,1494.1107204852838,89.80077407546693,64,91.43404426664836,63.35352936161702,3.589339255656318,22.068003934281073,5,36,Other,Other,Q4,0
55,442.9656138073309,11.84050772078387,32,26.528508908605243,24.853574392709287,4.485192581253423,16.931984734323418,5,30,Other,USA,Q1,0
244,671.7888014258741,173.01146727386086,64,90.39530651898893,30.41552544854651,4.50870838020321,14.67392886795072,5,76,Male,USA,Q2,0
320,6869.077921870384,148.91989544643428,2,32.06627547364322,77.08145216643211,1.6425452716893156,10.573516002487327,8,63,Other,Canada,Q3,1
131,3106.8049062111163,189.8836466830036,24,55.23380134555028,32.72211831614539,4.762256315731927,13.28731880933307,2,57,Female,UK,Q2,1
307,927.7078936959134,158.50694104731582,87,5.050747083228213,24.219589201314218,0.12437941007302722,4.741521942205068,6,33,Other,USA,Q3,0
135,3469.3442537376227,69.6042372898924,66,4.388108836874361,16.905774913370575,1.8841778050808284,17.342850546444478,6,79,Other,USA,Q3,1
21,3586.2060786089446,57.09593815840049,38,72.03732127322029,77.48584021819559,4.478994287544208,1.82849061814791,6,47,Female,UK,Q1,0
329,609.6357971272159,142.56609843512567,31,44.4479977977791,12.970625799002688,1.3731843990849146,9.32069235831634,1,77,Male,UK,Q4,1
167,121.07142479961722,79.18142725199489,26,25.629237536921757,45.37537602503535,1.3654072516065918,37.338522230971456,10,71,Male,USA,Q2,0
274,284.649204148135,117.58085299299715,29,19.04134960249102,50.69301160771944,1.5131114254094435,16.273449433831132,5,22,Female,USA,Q4,0
89,146.81996303712845,11.188919495029344,67,66.9953490859218,68.73899126857145,3.061566924234611,33.41185084886719,3,50,Other,UK,Q3,0
316,6289.595058400119,21.758283319290296,78,0.04015440253398728,63.32834823329955,2.191663878071769,35.84420877986387,0,36,Female,Other,Q4,1
14,8161.414876630872,111.71990882451372,25,80.58911691968542,81.07206729451748,3.633674181766713,29.059267136605676,7,72,Female,UK,Q1,0
242,11843.812049257143,117.55361282515138,48,7.924960612992882,4.475143392623815,4.474553212823329,47.93488706826992,4,36,Female,Other,Q4,1
265,53.01986616037087,152.7760594472753,65,19.148961490811946,29.64407247793972,3.370996874714303,1.0719933311556629,6,34,Male,USA,Q3,1
